"217","86477","Apatzingan","ATC","Michoacan","Michoacan","6","Reforzamiento","Carta de Liberación","Carta de Liberación"
"218","MX-PUE-5001","AMOZOC NORTE","MTP","Amozoc","Puebla","7","Mapeo de Torre","Entregado","Entregado"
"164","146027","929 Queretaro","ATC","Santiago de Quer?taro","Queretaro","6","Reforzamiento","Carta de Liberación","Carta de Liberación"
"219","144851","Loma Linda","AT&T","Guaymas","sonora","2","Reforzamiento","Carta de Liberación","Carta de Liberación"
"220","131262","El Fuerte","ATC","Lagos de Moreno","Jalisco","5","Reforzamiento","En espera de PO","En espera de PO"
"221","179146","DEGOLLADO","ATC","Los Reyes Acaquilpan","Estado de México",,"BTS","Proyecto Preliminar","Proyecto Preliminar"
"222","MX-DUR-0007","Sapyoriz","MTP","Torreón","Durango","3","Mapeo de Torre","Entregado","Documentación en Revisión"
"96","175834","POP Nuevo Laredo","ATC",,,,"Reforzamiento","Carta de Liberación","Carta de Liberación"
"223","146817","Tlalnemex","ATC","Tlalnepantla de Baz","Estado de México","9","Reforzamiento","Levantamiento","En Cotización"
"215","144255","Gasolineria","ATC","Apodaca","Nuevo León","4","Reforzamiento","En espera de QA","En espera de QA"
"45","145779","2027 Chihuahua","ATC","CHIHUAHUA","CHIHUAHUA","3","Cambio de Torre","Cotización","Cotización"
"96","175834","POP Nuevo Laredo","ATC",,,,"Gabinete","Carta de Liberación","Carta de Liberación"
"224","MX-CAM-5004","PESCADORES","MTP","San Francisco Campeche","Campeche","8","Mapeo de Torre","Documentación en Revisión","Documentación en Revisión"
"225","MX-CHP-5009","DEL VALLE",,"San Cristobal de las Casas","Mexico","8","Mapeo de Torre","Documentación en Revisión","Documentación en Revisión"
"227","MX-ROO-5019","GAVIOTAS","MTP","Cancún","Quintana Roo","8","Mapeo de Torre","Generando Documentación","Documentación en Revisión"
"228","179268","El Mezquite","ATC","Reynosa","Tamaulipas","4","Torre Nueva","No Asignada","No Asignada"
"229"," 179060 ","Mandarinas","ATC","León","Guanajuato","6","Torre Nueva","Elaboración de Catálogo","Asignada"
"230","179063","Corrugados","ATC","Guanajuato","Guanajuato","6","Torre Nueva","Requerimiento de Insumos","Asignada"
"231","179112","Chorlito","ATC","Ecatepec","Estado de México","9","Torre Nueva","No Asignada","No Asignada"
"221","179146","DEGOLLADO","ATC","Los Reyes Acaquilpan","Estado de México",,"Torre Nueva","Diseñada","Cotizada"
"232","179199","PIRELLI","ATC","Guanajuato","Guanajuato","6","Torre Nueva","Elaboración de Catálogo","Asignada"
"233","179150","BUGAMBILIAS","ATC",,"Estado de México","9","Torre Nueva","Diseñada","Cotizada"
"234","179153","EL CORRAL","ATC",,"Estado de México","9","Torre Nueva","Elaboración de Catálogo","Asignada"
"235","179181","Los Papayos","ATC","Temixco","Morelos","9","Torre Nueva","Elaboración de Catálogo","Asignada"
"236","179074","Tortas Chago","ATC","Guadalajara","Jalisco","5","Torre Nueva","No Asignada","No Asignada"
"237","179073","San Jose del quince","ATC","Guadalajara","Jalisco","5","Torre Nueva","No Asignada","No Asignada"
"183","131926","La Cal (R60004)","ATC","Salamanca","Guanajuato","6","Torre Nueva","Elaboración de Catálogo","Cotizada"
"239","179042","DE GUZMAN","ATC","Ixtlahuaca","Estado de México","9","Torre Nueva","No Asignada","No Asignada"
"240","179249","MARIA CECILIA","ATC","San Luis Potosí","San Luis Potosí","6","Torre Nueva","Elaboración de Catálogo","Asignada"
"226","MX-ROO-5015","PUNTA CANCÚN","MTP","Cancún","Quintana Roo","8","Mapeo de Torre","Entregado","Documentación en Revisión"
"241","179040","El Mirador","ATC","Juchitepec","Estado de México","9","Torre Nueva","Elaboración de Catálogo","Cotizada"
"242","178751","Colinas del Aeropuerto","ATC","Real de Palmas","Nuevo León","4","Torre Nueva","Diseñada","Cotizada"
"244","179375","Llanetes","ATC","Valparaiso","Zacatecas","6","BTS","Adquisición Insumos","Adquisición Insumos"
"245","179222","Prado Norte","ATC","Benito Juárez","Quintana Roo","8","Torre Nueva","Diseñada","Cotizada"
"246","179370","El Bosque","ATC","Tapachula","Chiapas","8","Torre Nueva","Diseñada","Cotizada"
"247","179345","Tepexco","ATC","Puebla","Puebla","7","Torre Nueva","Diseñada","Cotizada"
"249","179136","El Sol","ATC","Nezahualcoyotl","Estado de México","9","Torre Nueva","Diseñada","Cotizada"
"250","179198","Ocote","ATC","Cuajimalpa","CDMX","9","Torre Nueva","Diseñada","Cotizada"
"251","179034","Museo del Desierto","ATC","Saltillo","Coahuila","4","Torre Nueva","Elaboración de Catálogo","Asignada"
"50","145929","3214 Culiacan","ATC","Culiacan","Sinaloa","2","Colocación","Carta de Liberación","Carta de Liberación"
"252","179376","Valparaíso II","ATC","Valparaiso","Zacatecas","6","BTS","Proyecto Preliminar","En espera de PO"
"253","179055","Toyota Guanajuato","ATC","Apaseo el Alto","Guanajuato","6","Torre Nueva","Diseñada","Cotizada"
"244","179375","Llanetes","ATC","Valparaiso","Zacatecas","6","Torre Nueva","Diseñada","Cotizada"
"243","179057","Tabachines","ATC","Guanajuato","Guanajuato","6","Torre Nueva","Diseñada","Cotizada"
"254","179219","Huayacan","ATC","Cancún","Quintana Roo","8","Torre Nueva","Diseñada","Cotizada"
"135","178770","Balcones de Alcala","ATC","Reynosa","Tamaulipas","4","Torre Nueva","No Asignada","No Asignada"
"136","178729","Flamingos","ATC","Reynosa","Tamaulipas","4","Torre Nueva","No Asignada","No Asignada"
"137","178850","El Gallo","ATC","Juarez","Chihuahua","3","Torre Nueva","No Asignada","No Asignada"
"138","178863","Weg","ATC","Huehuetoca","Estado de Mexico","9","Torre Nueva","No Asignada","No Asignada"
"139","178879","Nexquipayac","ATC","Huehuetoca","Estado de Mexico","9","Torre Nueva","No Asignada","No Asignada"
"158","178684","Buenos Aires","ATC","Mexicali","Baja California","1","Torre Nueva","No Asignada","No Asignada"
"159","178723","Sendero","ATC","Tijuana","Baja California","1","Torre Nueva","No Asignada","No Asignada"
"160","178696","Maquilas Otay","ATC","Tijuana","Baja California","1","Torre Nueva","No Asignada","No Asignada"
"256","179004","Kiri","ATC","Iztapalapa","Ciudad de México","9","Torre Nueva","No Asignada","No Asignada"
"257","179045","Ahuejote","ATC","Coyoacán","Ciudad de México","9","Torre Nueva","No Asignada","No Asignada"
"258","179116","San Agustin ","ATC","Ecatepec de Morelos","México","9","Torre Nueva","No Asignada","No Asignada"
"259","179113","Gallito","ATC","Ecatepec de Morelos","México","9","Torre Nueva","No Asignada","No Asignada"
"260","179099","Tequisitlán","ATC","Salvador Ateco","Estado de México","9","Torre Nueva","No Asignada","No Asignada"
"261","179256","López Riesgo","ATC","Hermosillo","Sonora","2","Torre Nueva","No Asignada","No Asignada"
"262","179259","Arizona","ATC","Hermosillo","Sonora","2","Torre Nueva","No Asignada","No Asignada"
"263","179257","Sahuaro","ATC","Hermosillo","Sonora","2","Torre Nueva","No Asignada","No Asignada"
"264","179038","Valle Querido","ATC","Tecoman","Colima","5","Torre Nueva","No Asignada","No Asignada"
"265","179237","Azucenas","ATC","Ahome","Sinaloa","2","Torre Nueva","No Asignada","No Asignada"
