47,331,179057 - Tabachines - Implementación - AT&T - BTS - Montaje torre - GPS - Abril 21,115770,25/07/2021,25/07/2021,Admin Admin,87151,Torre Nueva,MXN,70,0,pdf/po_2020/M3PO_115770.pdf,25/07/2021
48,331,179057 - Tabachines - Implementación - AT&T - BTS - Transporte torre - GPS - Abril 21,115770,26/07/2021,26/07/2021,Admin Admin,46367,Torre Nueva,MXN,70,0,pdf/po_2020/M3PO_115770.pdf,26/07/2021
49,331,179057 - Tabachines - Implementación - AT&T - BTS - Estructura torre - GPS - Abril 21,115770,27/07/2021,27/07/2021,Admin Admin,445912.32,Torre Nueva,MXN,70,0,pdf/po_2020/M3PO_115770.pdf,27/07/2021
50,499,179376_VALPARAISI II_Implementación_Altán_BTS_Fletes_GPS_Urgente_Abril 2021,115718,28/07/2021,28/07/2021,Admin Admin,32073.42,Torre Nueva,MXN,173,0,pdf/po_2020/M3PO_115718.pdf,28/07/2021
51,499,179376_VALPARAISO II_Implementación_Altán_BTS_Montaje de Torre_GPS_Urgente_Abril 2021,115718,29/07/2021,29/07/2021,Admin Admin,106317.05,Torre Nueva,MXN,173,0,pdf/po_2020/M3PO_115718.pdf,29/07/2021
52,499,179376_VALPARAISO II_Implementación_Altán_BTS_Torre_GPS_Urgente_Abril 2021,115718,30/07/2021,30/07/2021,Admin Admin,391285.75,Torre Nueva,MXN,173,0,pdf/po_2020/M3PO_115718.pdf,30/07/2021
53,330,179375 - Llanetes - Implementación - Altán - BTS - Montaje torre - GPS - Abril 21,115718,31/07/2021,31/07/2021,Admin Admin,100921,Torre Nueva,MXN,69,0,pdf/po_2020/M3PO_115718.pdf,31/07/2021
54,330,179375 - Llanetes - Implementación - Altán - BTS - Transporte torre - GPS - Abril 21,115718,01/08/2021,01/08/2021,Admin Admin,51866,Torre Nueva,MXN,69,0,pdf/po_2020/M3PO_115718.pdf,01/08/2021
55,330,179375 - Llanetes - Implementación - Altán - BTS - Estructura torre - GPS - Abril 21,115718,02/08/2021,02/08/2021,Admin Admin,504341.39,Torre Nueva,MXN,69,0,pdf/po_2020/M3PO_115718.pdf,02/08/2021
56,328,179376_VALPARAISO II_Implementación_Altán_BTS_Obra Civil_GPS_Urgente_Abril 2021,115718,03/08/2021,03/08/2021,Admin Admin,784825.15,BTS,MXN,67,0,pdf/po_2020/M3PO_115718.pdf,03/08/2021
57,320,179375 - Llanetes - Implementación - Altán - BTS - Obra civil - GPS - Abril 21,115691,04/08/2021,04/08/2021,Admin Admin,845784.68,BTS,MXN,64,0,pdf/po_2020/M3PO_115691.pdf,04/08/2021
58,502,140388 - Termo Electrica - Implementación - Mantenimiento - Collo - Reubicación - GPS - Mar2021,115527,05/08/2021,05/08/2021,Admin Admin,649588.93,Cambio de Torre,MXN,174,0,pdf/po_2020/M3PO_115527.pdf,05/08/2021
59,520,179028_AMBAR_Implementación_AT&T_BTS_TTV_GPS_Urgente_Abril 2021,115527,06/08/2021,06/08/2021,Admin Admin,55000,BTS,MXN,177,0,pdf/po_2020/M3PO_115527.pdf,06/08/2021
60,303,179060 - Mandarinas - Implementación - AT&T - BTS - Estructura monopolo - GPS - Marzo 21,115407,07/08/2021,07/08/2021,Admin Admin,643465.44,Torre Nueva,MXN,56,0,pdf/po_2020/M3PO_115407.pdf,07/08/2021
61,303,179060 - Mandarinas - Implementación - AT&T - BTS - Transporte monopolo - GPS - Marzo 21,115407,08/08/2021,08/08/2021,Admin Admin,37933,Torre Nueva,MXN,56,0,pdf/po_2020/M3PO_115407.pdf,08/08/2021
62,303,179060 - Mandarinas - Implementación - AT&T - BTS - Montaje monopolo - GPS - Marzo 21,115407,09/08/2021,09/08/2021,Admin Admin,139766,Torre Nueva,MXN,56,0,pdf/po_2020/M3PO_115407.pdf,09/08/2021
63,264,145843_1118 Saltillo Implementación Cambio de torre Folio 12369788 AT&T GPS,115325,10/08/2021,10/08/2021,Admin Admin,351078.45,Cambio de Torre,MXN,41,0,pdf/po_2020/M3PO_115325.pdf,10/08/2021
64,264,145843_1118 Saltillo Implementación Cambio de torre Folio 12369788 AT&T GPS,115325,11/08/2021,11/08/2021,Admin Admin,315382.22,Cambio de Torre,MXN,41,0,pdf/po_2020/M3PO_115325.pdf,11/08/2021
65,264,145843_1118 Saltillo Implementación Cambio de torre Folio 12369788 AT&T GPS,115325,12/08/2021,12/08/2021,Admin Admin,90152.55,Cambio de Torre,MXN,41,0,pdf/po_2020/M3PO_115325.pdf,12/08/2021
66,264,145843_1118 Saltillo Implementación Cambio de torre Folio 12369788 AT&T GPS,115325,13/08/2021,13/08/2021,Admin Admin,35482.65,Cambio de Torre,MXN,41,0,pdf/po_2020/M3PO_115325.pdf,13/08/2021
